model,len,proc,itr,time
MS4,128,2,22,0.000335
FD4,128,2,22,0.000216
MS2,128,2,22,0.000659
FD2,128,2,22,0.000361
MS4,128,4,22,0.000365
FD4,128,4,22,0.000280
MS2,128,4,22,0.000580
FD2,128,4,22,0.000473
MS4,128,8,22,0.000659
FD4,128,8,22,0.000419
MS2,128,8,22,0.001087
FD2,128,8,22,0.000710
MS4,128,16,22,0.001546
FD4,128,16,22,0.000789
MS2,128,16,22,0.002587
FD2,128,16,22,0.000864
MS4,128,32,22,0.012724
FD4,128,32,22,0.000854
MS2,128,32,22,0.015613
FD2,128,32,22,0.001248
MS4,256,2,33,0.001171
FD4,256,2,33,0.000444
MS2,256,2,33,0.002111
FD2,256,2,33,0.000849
MS4,256,4,33,0.000632
FD4,256,4,33,0.000390
MS2,256,4,33,0.001084
FD2,256,4,33,0.000756
MS4,256,8,33,0.000976
FD4,256,8,33,0.000574
MS2,256,8,33,0.001313
FD2,256,8,33,0.001008
MS4,256,16,33,0.002220
FD4,256,16,33,0.000953
MS2,256,16,33,0.003136
FD2,256,16,33,0.003728
MS4,256,32,33,0.004667
FD4,256,32,33,0.006163
MS2,256,32,33,0.006785
FD2,256,32,33,0.005604
MS4,512,2,40,0.004341
FD4,512,2,40,0.001639
MS2,512,2,40,0.008085
FD2,512,2,40,0.003725
MS4,512,4,40,0.001757
FD4,512,4,40,0.001379
MS2,512,4,40,0.003587
FD2,512,4,40,0.003156
MS4,512,8,40,0.002052
FD4,512,8,40,0.001434
MS2,512,8,40,0.004164
FD2,512,8,40,0.003188
MS4,512,16,40,0.003637
FD4,512,16,40,0.002329
MS2,512,16,40,0.006270
FD2,512,16,40,0.003270
MS4,512,32,40,0.005925
FD4,512,32,40,0.005319
MS2,512,32,40,0.010441
FD2,512,32,40,0.007466
MS4,1024,2,50,0.018016
FD4,1024,2,50,0.006461
MS2,1024,2,49,0.032875
FD2,1024,2,49,0.012652
MS4,1024,4,50,0.007665
FD4,1024,4,50,0.004780
MS2,1024,4,49,0.012760
FD2,1024,4,49,0.008744
MS4,1024,8,50,0.006351
FD4,1024,8,50,0.004656
MS2,1024,8,49,0.010776
FD2,1024,8,49,0.008310
MS4,1024,16,50,0.007955
FD4,1024,16,50,0.004466
MS2,1024,16,49,0.015296
FD2,1024,16,49,0.008779
MS4,1024,32,50,0.011332
FD4,1024,32,50,0.004651
MS2,1024,32,49,0.019686
FD2,1024,32,49,0.009178
MS4,2048,2,60,0.087985
FD4,2048,2,60,0.032073
MS2,2048,2,59,0.161296
FD2,2048,2,59,0.057802
MS4,2048,4,60,0.031580
FD4,2048,4,60,0.023836
MS2,2048,4,59,0.059851
FD2,2048,4,59,0.043769
MS4,2048,8,60,0.032052
FD4,2048,8,60,0.024293
MS2,2048,8,59,0.064183
FD2,2048,8,59,0.042440
MS4,2048,16,60,0.033444
FD4,2048,16,60,0.024721
MS2,2048,16,59,0.056282
FD2,2048,16,59,0.045311
MS4,2048,32,60,0.038622
FD4,2048,32,60,0.026996
MS2,2048,32,59,0.075829
FD2,2048,32,59,0.045863
MS4,4096,2,71,0.413079
FD4,4096,2,71,0.105226
MS2,4096,2,70,0.759103
FD2,4096,2,70,0.196972
MS4,4096,4,71,0.082591
FD4,4096,4,71,0.053166
MS2,4096,4,70,0.162254
FD2,4096,4,70,0.103701
MS4,4096,8,71,0.066079
FD4,4096,8,71,0.049914
MS2,4096,8,70,0.128491
FD2,4096,8,70,0.103643
MS4,4096,16,71,0.066873
FD4,4096,16,71,0.049803
MS2,4096,16,70,0.151157
FD2,4096,16,70,0.101913
MS4,4096,32,71,0.076639
FD4,4096,32,71,0.049467
MS2,4096,32,70,0.163732
FD2,4096,32,70,0.101858
MS4,8192,2,85,1.952468
FD4,8192,2,85,0.733327
MS2,8192,2,83,3.529939
FD2,8192,2,83,1.275644
MS4,8192,4,85,0.450981
FD4,8192,4,85,0.286991
MS2,8192,4,83,0.842913
FD2,8192,4,83,0.526169
MS4,8192,8,85,0.237063
FD4,8192,8,85,0.248794
MS2,8192,8,83,0.470926
FD2,8192,8,83,0.460369
MS4,8192,16,85,0.240891
FD4,8192,16,85,0.191785
MS2,8192,16,83,0.496335
FD2,8192,16,83,0.369321
MS4,8192,32,85,0.261489
FD4,8192,32,85,0.185938
MS2,8192,32,83,0.543224
FD2,8192,32,83,0.352004
MS4,16384,2,100,8.743370
FD4,16384,2,100,2.569190
MS2,16384,2,95,14.996461
FD2,16384,2,95,4.054702
MS4,16384,4,100,2.425776
FD4,16384,4,100,1.607096
MS2,16384,4,95,3.895855
FD2,16384,4,95,2.393509
MS4,16384,8,100,1.808351
FD4,16384,8,100,1.491773
MS2,16384,8,95,2.793185
FD2,16384,8,95,2.191764
MS4,16384,16,100,1.751858
FD4,16384,16,100,1.425083
MS2,16384,16,95,2.642359
FD2,16384,16,95,2.097158
MS4,16384,32,100,1.788684
FD4,16384,32,100,1.435989
MS2,16384,32,95,2.651352
FD2,16384,32,95,2.154617
MS4,32768,2,110,37.103238
FD4,32768,2,110,11.756714
MS2,32768,2,109,66.971098
FD2,32768,2,109,20.611501
MS4,32768,4,110,6.944165
FD4,32768,4,110,5.127475
MS2,32768,4,109,13.370439
FD2,32768,4,109,9.509607
MS4,32768,8,110,5.621941
FD4,32768,8,110,4.645535
MS2,32768,8,109,11.004883
FD2,32768,8,109,8.686373
MS4,32768,16,110,5.499991
FD4,32768,16,110,4.554794
MS2,32768,16,109,10.760960
FD2,32768,16,109,8.543238
MS4,32768,32,110,5.625168
FD4,32768,32,110,4.695221
MS2,32768,32,109,13.072881
FD2,32768,32,109,8.580015
MS4,65536,2,122,162.495658
FD4,65536,2,122,49.828013
MS2,65536,2,122,294.502887
FD2,65536,2,122,88.529619
MS4,65536,4,122,43.545461
FD4,65536,4,122,32.396467
MS2,65536,4,122,81.972560
FD2,65536,4,122,58.683353
MS4,65536,8,122,36.784271
FD4,65536,8,122,30.681306
MS2,65536,8,122,70.122449
FD2,65536,8,122,55.805863
MS4,65536,16,122,36.416294
FD4,65536,16,122,30.533266
MS2,65536,16,122,69.446017
FD2,65536,16,122,55.446586
MS4,65536,32,122,41.449627
FD4,65536,32,122,30.896354
MS2,65536,32,122,71.254539
FD2,65536,32,122,58.976859
SQ4,128,1,22,0.000383
SQ2,128,1,22,0.000672
SQ4,256,1,33,0.001343
SQ2,256,1,33,0.002418
SQ4,512,1,40,0.004313
SQ2,512,1,40,0.008925
SQ4,1024,1,50,0.016216
SQ2,1024,1,49,0.035789
SQ4,2048,1,60,0.079846
SQ2,2048,1,59,0.176138
SQ4,4096,1,71,0.376004
SQ2,4096,1,70,0.827511
SQ4,8192,1,85,1.770706
SQ2,8192,1,83,3.883389
SQ4,16384,1,100,7.896340
SQ2,16384,1,95,16.578542
SQ4,32768,1,110,33.403300
SQ2,32768,1,109,74.468701
SQ4,65536,1,122,146.024492
SQ2,65536,1,122,328.609237
